username,id,rank,rating,matches_played
kaidan,935509,Gold I,1552,153
T3jay76,592423,Gold I,1542,29
Ali younes,320077,Silver II,1419,16
GEORGE_LEMON01,2117631,Unranked,1380,1
Mrjay,2121252,Unranked,1367,1
jackrholden14,2121255,Unranked,1367,1
SmokedBroccoli,289418,Unranked,1355,2
Link__JokeR,2119411,Unranked,1353,2
dussypestroyer,2115386,Unranked,1322,9
